Designator,Footprint,Quantity,Value,LCSC Part #
D1,LED_D5.0mm,1,LED,
F1,Fuseholder_Blade_Mini_Keystone_3568,1,+12V,
F2,Fuseholder_Blade_Mini_Keystone_3568,1,+5V,
F3,Fuseholder_Blade_Mini_Keystone_3568,1,+3.3V,
F4,Fuseholder_Blade_Mini_Keystone_3568,1,-3.3V,
F5,Fuseholder_Blade_Mini_Keystone_3568,1,-5V,
F6,Fuseholder_Blade_Mini_Keystone_3568,1,-12V,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_DIN965_Pad,4,MountingHole_Pad,
J1,AMASS_XT30U-F_1x02_P5.0mm_Vertical,1,SW12,
J16,PinSocket_1x04_P2.54mm_Horizontal,1,Conn_01x04,
J2,AMASS_XT30U-F_1x02_P5.0mm_Vertical,1,SW-3.3,
J3,AMASS_XT30U-F_1x02_P5.0mm_Vertical,1,SW5,
J4,AMASS_XT30U-F_1x02_P5.0mm_Vertical,1,SW-5,
J5,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
J6,AMASS_XT30U-F_1x02_P5.0mm_Vertical,1,SW3.3,
J7,AMASS_XT30U-F_1x02_P5.0mm_Vertical,1,SW-12,
J8,Molex_Micro-Fit_3.0_43045-2412_2x12_P3.00mm_Vertical,1,Conn_02x12_Top_Bottom,
J9,"PhoenixContact_GMSTBVA_2,5_7-G-7,62_1x07_P7.62mm_Vertical",1,YK3210703000G,
"JP1, JP2",SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,2,-12V Enable,
"JP3, JP4, JP5, JP6, JP7, JP8",SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,6,SolderJumper_2_Bridged,
"R1, R10, R12, R15, R2, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,6,10k,
"R11, R16",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,20k,
"R13, R14, R17, R6",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,4,1k,
"R3, R4, R7, R8",R_Bare_Metal_Element_L16.3mm_W4.8mm_P15.30mm,4,0.1,
R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,470,
RN1,R_Array_SIP7,1,10k,
SW1,SW_PUSH_6mm,1,SW_Push,
TP1,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,1,-3.3V TEST,
TP2,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,1,-5V TEST,
U1,NCV0372BDWR2G,1,NCV0372BDWR2G,
U2,SOP65P640X120-14N,1,INA4180A2IPWR,
U3,SOIC-20W_7.5x12.8mm_P1.27mm,1,ATtiny1626-S,
