Designator,Mid X,Mid Y,Rotation,Layer
D1,143.515,-118.11,180.0,top
F1,114.032,-81.182,0.0,top
F2,114.032,-73.816,0.0,top
F3,114.032,-66.196,0.0,top
F4,123.952,-99.314,180.0,top
F5,123.952,-106.68,180.0,top
F6,114.032,-88.548,0.0,top
J1,130.462,-83.136,0.0,top
J16,115.784,-122.092,90.0,top
J2,135.462,-97.36,180.0,top
J3,130.462,-75.516,0.0,top
J4,135.502,-104.726,180.0,top
J5,143.515,-124.206,270.0,top
J6,130.502,-67.896,0.0,top
J7,135.676,-90.248,180.0,top
J8,107.071,-68.082,270.0,top
J9,163.195,-68.58,270.0,top
R1,111.76,-110.49,270.0,top
R10,128.778,-124.968,0.0,top
R11,156.718,-113.538,90.0,top
R12,153.67,-113.538,90.0,top
R13,150.622,-113.538,90.0,top
R14,147.574,-113.538,90.0,top
R15,144.526,-113.538,90.0,top
R16,141.478,-113.538,90.0,top
R17,147.32,-123.444,90.0,top
R2,153.67,-123.444,90.0,top
R3,140.552,-83.136,0.0,top
R4,140.806,-90.805,0.0,top
R5,108.966,-114.554,180.0,top
R6,108.966,-117.856,180.0,top
R7,140.552,-75.516,0.0,top
R8,140.582,-67.896,0.0,top
R9,150.622,-123.444,90.0,top
RN1,141.478,-102.87,0.0,top
SW1,108.406,-111.216,180.0,top
U1,119.888,-114.554,0.0,top
U2,149.225,-97.155,0.0,top
U3,132.334,-116.332,0.0,top
