Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",C_Rect_L4.0mm_W2.5mm_P2.50mm,2,10uF,
"C3, C4",C_Rect_L4.0mm_W2.5mm_P2.50mm,2,1uF,
"C5, C6",C_Rect_L4.0mm_W2.5mm_P2.50mm,2,0.1uF,
"D1, D2",D_DO-41_SOD81_P10.16mm_Horizontal,2,1N47xxA,
"H1, H2",MountingHole_3.2mm_M3_DIN965,2,MountingHole,
J1,PinHeader_1x04_P2.54mm_Horizontal,1,Conn_01x04,
J2,PinHeader_2x13_P2.54mm_Horizontal,1,Conn_02x13_Top_Bottom,
J3,PinHeader_2x04_P2.54mm_Horizontal,1,Conn_02x04_Counter_Clockwise,
"JP1, JP2, JP3, JP4, JP5",PinHeader_1x03_P2.54mm_Vertical,5,Jumper_3_Bridged12,
"R0, R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R24, R25, R26, R3, R4, R5, R6, R7, R8, R9",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,27,1k,
"RN1, RN2",R_Array_SIP13,2,R_Network12,
SW1,DIP-8_W7.62mm,1,SW_DIP_x04,
SW2,SW_PUSH_6mm,1,SW_Push,
"U1, U2",DIP-16_W7.62mm,2,SP720,
U3,RPi_Pico_SMD_TH,1,Pico,
