Designator,Mid X,Mid Y,Rotation,Layer
C1,159.25,-83.25,0.0,top
C2,159.25,-87.75,0.0,top
C3,159.25,-92.25,0.0,top
C4,159.25,-96.75,0.0,top
C5,152.5,-98.5,0.0,top
C6,152.5,-103.25,0.0,top
D1,152.75,-82.42,270.0,top
D2,156.25,-82.42,270.0,top
J1,124.8,-104.375,270.0,top
J2,91.9,-89.975,180.0,top
J3,91.9,-101.8,180.0,top
JP1,105.25,-87.96,0.0,top
JP2,143.75,-53.0,90.0,top
JP3,154.0,-53.475,0.0,top
JP4,157.75,-53.475,0.0,top
JP5,161.5,-53.475,0.0,top
R0,96.774,-51.75,0.0,top
R1,96.774,-54.0,0.0,top
R10,96.774,-75.724,0.0,top
R11,101.79,-78.25,180.0,top
R12,101.79,-80.5,180.0,top
R13,101.75,-82.75,180.0,top
R14,101.75,-85.0,180.0,top
R15,101.79,-87.25,180.0,top
R16,101.79,-89.5,180.0,top
R17,101.75,-91.75,180.0,top
R18,101.83,-94.0,180.0,top
R19,101.79,-96.25,180.0,top
R2,96.774,-56.25,0.0,top
R20,101.79,-98.5,180.0,top
R21,101.75,-100.75,180.0,top
R22,101.79,-103.0,180.0,top
R23,154.25,-62.195,270.0,top
R24,156.75,-62.195,270.0,top
R25,159.25,-62.195,270.0,top
R26,137.54,-104.0,180.0,top
R3,96.774,-58.5,0.0,top
R4,96.774,-60.75,0.0,top
R5,96.774,-63.25,0.0,top
R6,96.774,-65.75,0.0,top
R7,96.774,-68.25,0.0,top
R8,96.774,-70.644,0.0,top
R9,96.774,-73.184,0.0,top
RN1,104.648,-82.804,90.0,top
RN2,139.25,-69.75,270.0,top
SW1,161.05,-71.95,270.0,top
SW2,143.25,-99.25,0.0,top
U1,149.8,-95.625,180.0,top
U2,142.95,-56.875,0.0,top
U3,122.5,-76.471,0.0,top
